agent_number,statistic,season,p_value,slope,conf_low,conf_high,conf_level,intercept,r_squared,sigma,trend_method,n,note,s,var_s,tau,z,alternative,trend_likelihood,period_start,period_end,lat,lon,site
1056,Average,Autumn,0.05742511295053076,0.01360544217687068,-7.745955844493287e-5,0.02728834391218631,0.95,16.101388888888895,0.07626976609506318,0.6700497996691068,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-03-01,2019-05-31,-35.183,173.926,Kerikeri
1056,Average,Spring,0.03253042558583229,0.01272072658850766,0.00141103016244712,0.02403042301456819,0.95,14.0779255319149,0.09555281833342132,0.5538342649235923,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-09-01,2019-11-30,-35.183,173.926,Kerikeri
1056,Average,Winter,1.2880219000229614e-4,0.02192792010421192,0.01164803859315784,0.032207801615266,0.95,11.261377068557916,0.27535010504129087,0.5034043714079963,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-06-01,2019-08-31,-35.183,173.926,Kerikeri
1056,Maximum,Autumn,0.0048724127407183,0.01993595310464619,0.00672776610188154,0.03314414010741085,0.95,20.612263593380607,0.1598407634691896,0.6468030850760483,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-03-01,2019-05-31,-35.183,173.926,Kerikeri
1056,Maximum,Spring,5.100463356564495e-4,0.0196609494861774,0.00935502490476616,0.02996687406758864,0.95,18.727334515366437,0.233087597875266,0.5046796969502784,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-09-01,2019-11-30,-35.183,173.926,Kerikeri
1056,Maximum,Winter,2.958424969826672e-7,0.02506875090461712,0.01687130209972664,0.0332661997095076,0.95,15.705260047281328,0.43851501091448675,0.40142793069528127,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-06-01,2019-08-31,-35.183,173.926,Kerikeri
1056,Minimum,Autumn,0.43386773983260807,0.00729845129541167,-0.0108201193883547,0.02541702197917806,0.95,11.592021276595752,0.01336923517623502,0.8872638926883425,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-03-01,2019-05-31,-35.183,173.926,Kerikeri
1056,Minimum,Spring,0.4252744057739639,0.0058528730641192,-0.00840705271350738,0.02011279884174579,0.95,9.428132387706862,0.01387314158168077,0.6983065869671413,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-09-01,2019-11-30,-35.183,173.926,Kerikeri
1056,Minimum,Winter,0.01461959802319791,0.01930995802576352,0.004394726629084,0.03422518942244304,0.95,6.8026004728132365,0.12278543493851649,0.7303968122177671,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-06-01,2019-08-31,-35.183,173.926,Kerikeri
1287,Average,Autumn,0.004221787014935,0.02069944999276307,0.00722446204216062,0.03417443794336553,0.95,16.29355791962175,0.16462021132099597,0.6598682904768033,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-03-01,2019-05-31,-35.769,174.364,Whangarei
1287,Average,Spring,0.00306322698708506,0.01928643797944706,0.00719616614437379,0.03137670981452033,0.95,14.394148936170216,0.1752615044847457,0.5920589344091364,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-09-01,2019-11-30,-35.769,174.364,Whangarei
1287,Average,Winter,2.929539838757748e-5,0.02490230134607046,0.01437879599106341,0.03542580670107751,0.95,11.371838061465713,0.318626406055415,0.5153345972470069,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-06-01,2019-08-31,-35.769,174.364,Whangarei
1287,Maximum,Autumn,0.2219425546962687,0.00940440005789557,-0.00548256054110415,0.0242913606568953,0.95,20.655703309692665,0.03225157560869608,0.7290123951775614,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-03-01,2019-05-31,-35.769,174.364,Whangarei
1287,Maximum,Spring,0.2240945837954006,0.00802938196555201,-0.00474117425829162,0.02079993818939566,0.95,18.889391252955097,0.03195782674014814,0.625372366547374,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-09-01,2019-11-30,-35.769,174.364,Whangarei
1287,Maximum,Winter,0.11123952041273942,0.00762954117817339,-0.0015791503024774,0.0168382326588242,0.95,15.755437352245863,0.05421645303991467,0.4509483442316302,Linear model,48,NA,NA,NA,NA,NA,NA,NA,1972-06-01,2019-08-31,-35.769,174.364,Whangarei
